"","B.I_No","GBT_No","Wales_No","Scot_No","Book_Name","Link","Latitude","Longitude","Grid_Reference","habitat"
"1",34,NA,NA,NA,"The Borrowdale Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=10981",54.50225,-3.18235,"NY2353012525","Acid grass"
"2",35,NA,NA,NA,"Great Lime at Holker","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=11167",54.18896,-2.98536,"SD35807747","Improved grass"
"3",36,NA,NA,NA,"Umbrella Yew at Levens Hall","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=140641",54.25871,-2.77548,"SD49588506","Suburban"
"4",37,NA,NA,NA,"Wild Cherry at Studley Royal","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4853",54.12299,-1.57289,"SE2801269764","Improved grass"
"5",38,NA,NA,NA,"The Marton Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=23583",53.21169,-2.22277,"SJ8522068315","Suburban"
"6",39,NA,NA,NA,"The Major Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=1",53.20458,-1.07243,"SK6205367902","Conifer"
"7",40,NA,NA,NA,"The Original Bramley","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=185333",53.07642,-0.9482,"SK7055953760","Suburban"
"8",41,NA,NA,NA,"Newton's Apple Tree","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=104203",52.80904,-0.63353,"SK9220624374","Suburban"
"9",42,NA,NA,NA,"Bowthorpe Oak at Bourne","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=142",52.72521,-0.42125,"TF0671815342","Improved grass"
"10",43,NA,NA,NA,"Ely's London Plane","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=45737",52.39809,0.260565,"TL53908019","Suburban"
"11",44,NA,NA,NA,"First Dawn Redwood","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=29595",52.19344,0.124624,"TL45325715","Improved grass"
"12",45,NA,NA,NA,"Kett's Oak at Wymondham","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=11923",52.587689,1.155933,"TG1388303554","Arable"
"13",46,NA,NA,NA,"Hethel Old Thorn","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=179475",52.559093,1.201364,"TG1710100510","Improved grass"
"14",47,NA,NA,NA,"Panshanger Great Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=100520",51.803244,-0.13382568,"TL2877013269","Broadleaf"
"15",48,NA,NA,NA,"World's End Black Poplar","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=248508",51.766463,0.053454608,"TL4179709526","Broadleaf"
"16",49,NA,NA,NA,"Cage Pollard at Burnham Beeches","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=7879",51.55385,-0.63304,"SU94878477","Broadleaf"
"17",50,NA,NA,NA,"Ankerwycke Yew at Runnymede","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=2121",51.44479,-0.55657,"TQ0041072742","Improved grass"
"18",51,NA,NA,NA,"Old Lion' Gingko at Kew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=29388",51.48256,-0.2914,"TQ18747734","Improved grass"
"19",52,NA,NA,NA,"Charlton House Mulberry","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=56053",51.481157,0.036363831,"TQ4150277766","Suburban"
"20",53,NA,NA,NA,"Sidney Oak at Penshurst","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=6357",51.18166,0.184654,"TQ52794476","Improved grass"
"21",54,NA,NA,NA,"The Crowhurst Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=5496",50.88366,0.497096,"TQ7574812321","Suburban"
"22",55,NA,NA,NA,"Preston Park Twins","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=5991",50.84148,-0.15059,"TQ3030906290","Suburban"
"23",56,NA,NA,NA,"Queen Elizabeth I Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4418",50.99611,-0.70062,"SU9128122659","Improved grass"
"24",57,NA,NA,NA,"The Selborne Yew","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=4633",51.098348,-0.94307298,"SU7410533758","Suburban"
"25",58,NA,NA,NA,"Wellington's Wellingtonia","",51.347582,-1.000028,"SU6973961419","Improved grass"
"26",59,NA,NA,NA,"Cedar of Lebanon at Childrey","",51.585869,-1.480558,"SU3608587573","Suburban"
"27",60,NA,NA,NA,"The Big Belly Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=2733",51.39039,-1.69483,"SU2133065749","Broadleaf"
"28",61,NA,NA,NA,"Wyndham's Oak","https://ati.woodlandtrust.org.uk/tree-search/tree?treeid=6884",51.06317,-2.30933,"ST78422936","Improved grass"
